fi id	sw	en
Keuhkoahtaumatautipotilaan lääkitys	618
Keuhkoputkia avaava lääkitys	47
Keuhkotuberkuloosi: hengästyminen	1073
Keuhkotuberkuloosi: hoidettu?	1076
Keuhkotuberkuloosi: kuume	1069
Keuhkotuberkuloosi: laihtuminen	1070
Keuhkotuberkuloosi: limaa tai verta yskässä	1068
Keuhkotuberkuloosi: lähipiirissä tuberkuloosin sairastanut	1077
Keuhkotuberkuloosi: rintakehän tai kyljen kipu	1072
Keuhkotuberkuloosi: sairastettu?	1075
Keuhkotuberkuloosi: yskän kesto	1067
Keuhkotuberkuloosi: yöhikoilu	1071
Kiinnostus alkoholitottumusten muuttamiseen	542
Kiinnostus tupakoinnin lopettamiseen	547
Kipu rintalastan takana, nestettä juodessa (närästysoire)	312
Kipu rintalastan takana, ruokaa niellessä (närästysoire)	311
Kipu tai närästys juuri nyt (närästysoire)	315
Kipu tai närästys tällä hetkellä	704
Kipua henkitorven seudussa	596
Kipulääkityksen käyttö	700
Kipuoireet	573
Kirvelevä tunne rintalastan takana (närästysoire)	308
Kivun voimakkuus	5
Kliininen tutkimuslöydös	575
Kliiniset löydökset (polvilähete)	369
Kodin soveltuvuuden arviointi hv-arvio	677
Kodin ulkopuolinen apu hv-arvio	668
Kohonnut verenpaine (kyllä/ei/en tiedä)	444
Kolesteroli	833
Kolesteroliarvot (HDL)	478
Kolesteroliarvot (KOL)	477
Kolesteroliarvot (LDL)	479
Kolesteroliarvot (TRIGLY)	480
Kommentit tavoitteista (vapaa teksti)	531
Kondomin käyttö	433
Kondomin oikea käyttö	429
Konservatiivinen hoito	576
Konsultaation syy	381
Konsultaation syy/diagnoosi (polvilähete)	349
Korkea kolesteroli (kyllä/ei/en tiedä)	476
Korva-artikkelin tulostuslinkki	1086
Korvakipu (esiintyminen, kylmä ilma, tuuli)	90
Korvakipu (kyllä/ei)	592
Korvakipu (luonne)	83
Korvakipu (muut oireet)	89
Korvakipu (vahaa korvassa)	88
Korvakipu (vamma tms.)	86
Korvakipu (vierasesine)	87
Korvakäytävän raapaisu	706
Korvan lukkoisuus	598
Kuitujen saanti	557
Kuivasilmäisyyden paheneminen	711
Kumppanin sukupuolitautitartunta (tartunta-ajankohta)	220
Kurkkukipu (kyllä/ei)	53
Kurkkukipu (vierasesine)	145
Kurkkukipu pahenee selällään	144
Kurkkukipu-artikkeli Lääkärikirja Duodecimissa	9
Kurkkukipuartikkelin tulostuslinkki	13
Kurkkukivun kesto	16
Kuukautisten säännöllisyys	183
Kuume (38, 2 vrk)	85
Kuume (38, 3 vrk)	584
Kuume (astetta)	7
Kuume (kyllä/ei)	38
Kuume (päiviä/vko)	39
Kuumeen kesto (päivää)	61
Kävelymatka	362
Kävelymatka (polvioire)	687
Käytössä oleva lääkitys	454
Käytössä oleva/käytetty lääke (tarkentava kysymys)	254
Lakritsi- ja salmiakkituotteiden käyttö	562
Lakritsituotteiden käyttö	344
LDL-arvo (diabetes)	508
LDL-arvo (korkea riski)	530
LDL-arvo (yleinen)	504
LDL-kolesterolitavoite (diabetes, kyllä/ei/en tiedä)	506
LDL-kolesterolitavoite (korkea riski/kyllä/ei/en tiedä)	528
LDL-kolesterolitavoite (yleinen, kyllä/ei/en tiedä)	502
Leikkaus- tai toimenpidehalukkuus	376
Leuanalusturvotus	658
Leukalukko	143
Lievä oireisto	580
Lievä oireisto - Fysioterapiasta ei apua	581
Liikkuminen saattajan avulla hv-arvio	683
Liikkumisen apuvälineet	371
Liikkumisen apuvälineet hv-arvio	679
Liikunnan tehostaminen	535
Liikunnantehostamistavoitteet	536
Liikunta ja vapaa-aika	843
Liikunta/vko	534
Lista allergiaoireita aiheuttavista antibiooteista	27
Lisätiedot	34
Lisätietoja	583
Luukadon estolääkitys (närästys, muut sairaudet)	326
Lähipiirin samat oireet	209
Lääkitys	451
Lääkitys, muut ongelmat (vapaa teksti)	457
Lääkäriajan varaaminen	777
Lääkärikäynnit viimeisen 6 kk:n aikana	126
Mahansisällön nousu, ei oksentelua (närästysoire)	309
Mahansisällön nousu, oksentelua (närästysoire)	310
Makeat välipalat	560
Makuulla oleminen (närästysoiretta pahentava tekijä)	318
Miesten oireet (sukupuolitautitartuntaepäily)	243
Miestenvälinen tai naistenvälinen seksi (kyllä/ei)	232
Migreeni todettu	287
Mikä muu näyte on otettu	432
Mikä muu sukupuolitauti on todettu? (vapaa teksti)	435
Mikä syöpä?	1091
Mikä tahansa ruoka (närästysoiretta pahentava tekijä)	321
Milloin viimeiset sukupuolitautinäytteet on otettu?	431
Mitkä leikkaukset on tehty (vatsa)?	510
Mittauspaikka	888
Mittauspaikka (kolesteroli)	483
Mittauspvm (kolesteroli)	482
Mitä kipulääkkeitä?	701
Munuais- tai muu virtsatiesairaus (kyllä/ei)	30
Munuaissairaus (kyllä/ei/en tiedä)	445
Muu niveloireita aiheuttava sairaus - mikä?	694
Muu syy (diagnoosi)	356
Muu syy (omahoidon esto)	568
Muun kumppanin sukupuolitautitartunta (kyllä/ei)	235
Muun kumppanin sukupuolitautitartunta (yhteydenotto)	236
Muun vatsaoireen kuvaus	518
Muut nielun oireet	138
Muut niveloireet polvioireisella	698
Muut oireeseen liittyvät asiat	341
Muut oireet	139
Muut oireet (kyllä/ei, säären kipu)	246
Muut oireet (Rähmivä silmä)	613
Muut oireet (säären kipu)	247
Muut oireet hengenahdistuksen yhteydessä	62
Muut oireet kurkkukipupotilaalla	19
Muut oireet virtsatietulehdusoireisella	22
Muut sairaudet (kyllä/ei)	449
Muut sairaudet (täsmennys)	353
Muut sairaudet (vapaa teksti)	450
Muut sairaudet ja lääkitys	322
Muut sairaudet, lääkitys (kyllä/ei)	352
Muuta	748
Nenän sivuonteloiden paineoire	48
Nielemis- tai hengitys vaikeus	141
Nielun oireet kurkkukipupotilaalla	18
Niskajäykkyys leukaa rintaan painettaessa	290
Nivelnestenäyte (kyllä/ei)	378
Nivelnestenäyte (tulos)	380
Nivelrikkomuutokset (polvilähete)	360
NSAID:ien vasta-aiheet	411
Nuha (kyllä/ei)	54
[ei käännöstä]	474
[ei käännöstä]	475
[ei käännöstä]	481
[ei käännöstä]	484
[ei käännöstä]	486
[ei käännöstä]	491
[ei käännöstä]	384
[ei käännöstä]	385
[ei käännöstä]	387
[ei käännöstä]	505
[ei käännöstä]	507
[ei käännöstä]	527
[ei käännöstä]	529
[ei käännöstä]	533
[ei käännöstä]	538
[ei käännöstä]	550
[ei käännöstä]	555
[ei käännöstä]	496
[ei käännöstä]	501
[ei käännöstä]	503
[ei käännöstä]	620
[ei käännöstä]	623
[ei käännöstä]	631
[ei käännöstä]	638
[ei käännöstä]	649
[ei käännöstä]	936
[ei käännöstä]	939
[ei käännöstä]	944
[ei käännöstä]	946
[ei käännöstä]	950
[ei käännöstä]	955
[ei käännöstä]	956
[ei käännöstä]	961
[ei käännöstä]	930
[ei käännöstä]	931
[ei käännöstä]	932
[ei käännöstä]	933
Nykyiset genitaalialueen oireet - Mies (sukupuolitartuntaepäily)	423
Nykyiset genitaalialueen oireet - Nainen (sukupuolitautitartuntaepäily)	238
Nykyiset oireet - Suun alue (sukupuolitautitartuntaepäily)	1126
Nykyiset oireet - Yhteiset (sukupuolitautitartuntaepäily)	424
Närästys (kyllä/ei)	44
Närästys-artikkelin tulostuslinkki	262
Närästysoire (kesto)	91
Närästysoire (kivun voimakkuus)	92
Närästysoire (kivun voimakkuus) 2	705
Närästysoire (muut sairaudet, lääkitys)	95
Närästysoire (pahentavat tekijät)	94
Närästysoire (tyyppi)	93
Närästysoireen tyyppi	306
Närästysoiretta pahentavat tekijät	316
ODA-testikysymys	661
Oire (polvilähete)	350
Oireeni ovat voimakkaat	425
Oireeni sopivat itsehoitoon ja haluan vain itsehoito-ohjeen	10
Oireet	202
Oireet (lisätieto)	466
Oireiden kesto (2 vrk)	612
Oireiden kesto (tyhjä kenttä)	354
Oireiden kesto, vrk	590
Oireiden lisääntyminen uudelleen	599
Oireileva silmä (Rähmivä silmä)	609
Oireinen polvi (polvilähete)	351
Oirekysely ei sovellu yli kuukauden kestäneen ripulin selvittelyyn	710
Oirekyselylomake on tarkoitettu vain naisille	662
Oirekyselylomake on tarkoitettu yli 1-vuotiaille	607
Oksentamiskerrat (vrk)	197
Oksentelu ja huimaus	291
Oleskelu riskialueella (tuberkuloosiepäily)	250
Oleskelu samassa tilassa (tuberkuloosiepäily)	251
Olkapääkipu - aktiivinen liikerajoitus	398
Olkapääkipu - atraumaattinen repeämä	406
Olkapääkipu - hoidon kesto	409
Olkapääkipu - instabiliteetti	404
Olkapääkipu - kivun voimakkuus	412
Olkapääkipu - kuvaus jo saadusta hoidosta	657
Olkapääkipu - leposärky ja rasituskipu	403
Olkapääkipu - niska vai olkapää	986
Olkapääkipu - niskakipu	407
Olkapääkipu - oireen puoli	848
Olkapääkipu - oireiden kesto	408
Olkapääkipu - passiivinen liike parempi	399
Olkapääkipu - red flags	405
Olkapääkipu - toimii vain yhdelle kädelle	849
Olkapääkipu - trauma	402
Olkapääkipu - trauma arvioitu	656
Olkapääkipu - trauman kuvaus	655
Olkapääkipu-artikkelin tulostuslinkki	1087
Olkavarsimittarin käyttö verenpaineen kotimittauksessa	570
Omahoidon esteet	567
Omaisen kyky vastata hoidosta hv-arvio	676
Omaishoidon ansa	739
Omaishoidon arvostettavuus	745
Omaishoidon vaativuus	734
Omaishoidon vaikutus perhesuhteisiin	737
Omaishoidon vaikutus talouteen	738
Omaishoidon vaikutus terveydentilaan	736
Omaishoidon vaikutus tunne-elämään	746
Omaishoidon vaikutus ystävyyssuhteisiin	735
Omaishoidon vaivanpalkka	741
Omaishoitajan ikä	726
Onko oksentelua (ripulitaudissa)	707
Onko potilas saanut fysioterapiaa?	582
Onko sinulla seuraavia oireita (hengitystietulehdus)?	591
Onko sinulla todettu syöpä?	8
Onko sukupuolitautinäytteissä todettu poikkeavaa (kyllä/ei)	430
Onko verenpaine yli 140/90 mmHg?	343
Ontuminen tai lukkiutuminen	572
Ontuminen tai lukkiutuminen (polvilähete)	370
Otetut sukupuolitautinäytteet	215
Pahin kipu	355
Pahoinvointi, etova olo	198
Paineoireiden kesto	211
Paino	78
Painoindeksi (BMI)	372
Painonhallinnan ohjaus	386
Painonlasku (5 kg/2 kk)	41
Painonpudotustavoitteet	553
Pakkoinkontinenssi	768
Pakkoinkontinenssi haitta	769
Palaute - hälyttävä oirekuva	1089
Palaute - yleistilan huononeminen, hengitystieinfektio	619
Palaute2: suojaamatonta seksiä tartunnan jälkeen	1048
Palaute: ei hälyttäviä hengitystieinfektion oireita	587
Palaute: ei oireita	1027
Palaute: ei seksikontaktia	1026
Palaute: ei selvää silmäoireeseen liittyvää rähmimistä	616
Palaute: kuume	699
Palaute: ohjaus terveydenhuollon ammattilaiselle	1008
Palaute: oirearvio on tarkoitettu 18 - 65 -vuotiaille	666
Palaute: oirearvion ikäraja on 15 v	421
Palaute: oirearvion ikäraja on 15 v	14
Palaute: päivystyskäynti aiheellinen	1090
Palaute: päivystyskäynti aiheellinen	1106
Palaute: päivystyskäynti aiheellinen	1107
Palaute: päivystyskäynti aiheellinen	1108
Palaute: sukupuolitautitutkimuksiin	1009
Palaute: suojaamatonta seksiä tartunnan jälkeen	1047
Palaute: tihentynyt hengitys -> yhteys päivystykseen	663
Palaute: vastaus sukupuolta koskevaan kysymykseen	1028
Palveluliikenteen käyttö hv-arvio	682
Parasetamolin vasta-aiheet	410
Perhe ja parisuhde	846
Perussairaudet	443
Perustiedot	830
Peräaukon seudun oire	96
Peräaukon seudun oire (verta)	97
Peräaukon seudun oireita käsittelevien artikkelien tulostuslinkki	263
Peräsuolioireet (sukupuolitautitartuntaepäily)	240
Pitkittynyt yskä (kyllä/ei)	463
Pitkäaikainen sairaus tai vamma hv-arvio	669
Pituus	77
Poikkeava hengenahdistus (kyllä/ei)	460
Polven instabiliteetti (polvilähete)	368
Polven oireiden kesto	665
Polven passiiviset liikerajoitukset selinmakuulla	364
Polven toimenpiteet	691
Polvikipu - vamma	664
Polvikipu-artikkelin tulostuslinkki	1088
Polvioireen haitta toimintakyvylle	689
Polvioireen luonne	695
Polvioireen puoli	688
Polvitoimenpiteen ajankohta	966
Polvitoimenpiteen puoli	692
Ponnistusinkontinenssi	772
Ponnistusinkontinenssi haitta	773
Portaiden nousu (hengästyminen)	75
Puhuminen	59
Punkki - aika oireiden alusta	397
Punkki - aika pistosta	393
Punkki - altistus	394
Punkki - Erythema migrans	392
Punkki - havainto punkista iholla	390
Punkki - kiinnitymisen kesto	391
Punkki - myöhäisvaiheen oireet	396
Punkki - varhaisvaiheen oireet	395
Puuromainen puhe	142
Pystyykö itse kertomaan avun tarpeen hv-arvio	671
Päivittäiset toiminnot hv-arvio	667
Päivystyshoidon tarpeen arviointi	586
Pärjääminen omaishoitajana	733
Pääasiallinen oire (kesto, säären kipu)	245
Pääasiallinen oire (rakkulat ja haavaumat suussa)	181
Pääasiallinen oire (säären kipu)	244
Pääasiallinen vatsaoire	516
Päänsärky (aiemmin samanlaista)	441
Päänsärky (alku)	436
Päänsärky (kesto)	100
Päänsärky (lisäoireet)	103
Päänsärky (voimakkuus)	101
Päänsärky - todetut sairaudet	440
Päänsärky aiemmin samanlaista	285
Päänsärky on mennyt ohi	439
Päänsärkyartikkelin tulostus	161
Pääoire (Rähmivä silmä)	608
Rakkulat ja haavaumat suussa -artikkelin tulostuslinkki	256
Rakon tyhjentyminen	756
Rakon tyhjentymisen haitta	757
Rasitus (närästysoiretta pahentava tekijä)	317
Raskauden ehkäisy (aiempi ehkäisy)	109
Raskauden ehkäisy (keston tarve)	108
Raskauden ehkäisy (menetelmät)	110
Raskauden ehkäisy -artikkelin tulostuslinkki	264
Raskauden ehkäisy, lähisuvun sairaudet	190
Raskauden ehkäisy, riskitekijöitä	189
Raskaus (kyllä/ei/en tiedä)	25
Rasvainen iho (kyllä/ei)	192
Rasvainen ruoka yms. (närästysoiretta pahentava tekijä)	320
Ravinto	842
Rintakipu (kyllä/ei)	458
Rintapistos muualla kuin henkitorven seudussa	597
Ripuli	99
Ripuli ja/tai oksentelu -artikkelin tulostuslinkki	257
Ripulia aiheuttava lääkitys (kyllä/ei)	258
Ripulin kesto	193
Rtg-kuva	578
Rytmihäiriötuntemukset (kyllä/ei)	462
Sairaalahoitojakso (kyllä/ei)	32
Sairastettuja VTI-tulehduksia vuoden sisällä kaksi tai useampia (kyllä/ei)	24
Sairaus tai vamma liikkumisen esteenä hv-arvio	680
Satunnainen lääkitys	188
Seksikumppaneiden lukumäärä 6 kk aikana	234
Seksikumppanin sukupuolitautiepäily (kyllä/ei/en tiedä)	219
Seksikumppanin sukupuolitautitartunnan hoito (ajankohta)	223
Seksikumppanin sukupuolitautitartunnan hoito (käytetty lääke)	224
Seksikumppanin sukupuolitautitartunnan kontrollinäyte (kyllä/ei/en tiedä)	225
Seksikumppanin sukupuolitautitartunnan kontrollinäyte (tulos)	230
Seksikumppanin sukupuolitautitartunta (todettu tauti)	221
Seksikumppanin sukupuolitautitartunta lääkitty (kyllä/ei)	222
Seksitapa	233
Seksitapa	1066
Selkäkipu - alaraajan lievä voiman puute, tunnottomuus, puutuminen	131
Selkäkipu - alaraajan voiman puute	129
Selkäkipu - kivun lievittyminen levossa	132
Selkäkipu - kivun sijainti	124
Selkäkipu - lausunnon tarve	122
Selkäkipu - oireen kesto	4
Selkäkipu - oireen sijainti	926
Selkäkipu - palaute hälytysoireista	928
Selkäkipu - sairausloman tarve	121
Selkäkipu - vamma	426
Selkäkipu - vamman kuvaus	427
Selkäkipuartikkelin tulostuslinkki	389
Selkäkipuun liittyvä vatsakipu	134
Selkäkipuun liittyvät oireet	6
Sepelvaltimotauti (kyllä/ei/en tiedä)	447
Silmän allergiaoireet (Rähmivä silmä)	614
Silmän tärkeimmät verestysmuodot (Rähmivä silmä)	713
Silmäoireet (sukupuolitautitartuntaepäily)	241
Sopimattomat lääkkeet (kyllä/ei)	455
Sopimattomat lääkkeet (lisätieto)	456
Spontaani virtsaaminen haitta	775
Spontaani virtsankarkailu	774
STAR-aivohalvaus	794
STAR-alkoholi	797
STAR-alkoholi_annokset_kevytviini	802
STAR-alkoholi_annokset_longdrink	799
STAR-alkoholi_annokset_olut	798
STAR-alkoholi_annokset_viini	801
STAR-alkoholi_annokset_väkevät	800
STAR-diabetes	795
STAR-diabetes_lähisuku	796
STAR-haluatko_arvioida_kuntotasosi	886
STAR-HDL	787
STAR-hengityselinten_sairaus	836
STAR-henkinen_hyvinvointi-carpediem	824
STAR-henkinen_hyvinvointi-kiitollisuus	825
STAR-henkinen_hyvinvointi-luottamus_tulevaisuteen	823
STAR-henkinen_hyvinvointi-tavoitteet	822
STAR-humalahakuisuus	803
STAR-ikä	782
STAR-kokonaiskolesteroli	786
STAR-koulutus	780
STAR-kuntotason_arviointi	813
STAR-kuntotason_arviointi_taso1	814
STAR-kuntotason_arviointi_taso2	815
STAR-kuntotason_arviointi_taso3	816
STAR-liikunta_rasitus	811
STAR-nuuskan_käyttö	806
STAR-otsikko-perustiedot	827
STAR-otsikko-perustiedot_sukupuoli	829
STAR-otsikko-terveystiedot	828
STAR-paino	784
STAR-perhe_lapset	821
STAR-perhe_puoliso	820
STAR-pituus	783
STAR-ravinto_hedelmät_ja_marjat	808
STAR-ravinto_kala	810
STAR-ravinto_kasvikset	807
STAR-ravinto_kokojyvätuotteet	809
STAR-sepelvaltimotauti	791
STAR-sepelvaltimotauti_isä	792
STAR-sepelvaltimotauti_äiti	793
STAR-stressi	818
STAR-sukupuoli	781
STAR-tules	837
STAR-tupakointi	804
STAR-tupakointi_määrä	805
STAR-työn_rasittavuus	819
STAR-uni	817
STAR-verenpaine_diastolinen	789
STAR-verenpaine_systolinen	788
STAR-verenpainelääkitys	790
STAR-verensokeri	838
STAR-vyötärö	785
STAR-yhdistystoiminta	826
Status	383
Stressi	845
Sukulaisten aivoverenkiertohäiriöt (kyllä/ei/en tiedä)	470
Sukulaisten aivoverenkiertohäiriöt (lisätieto)	471
Sukulaisten sydäninfarktit (kyllä/ei/en tiedä)	468
Sukulaisten sydäninfarktit (lisätieto)	469
Sukulaisten verenpainetauti (kyllä/ei/en tiedä)	472
Sukulaisten verenpainetauti (lisätieto)	473
Sukupuoli (mies/nainen)	305
Sukupuolitaudin itsearvio	1006
Sukupuolitautiepäily: kyselyn täyttäminen	1007
Sukupuolitautiin mahdollisesti viittavat oireet (kyllä/ei)	210
Sukupuolitautinäytteiden otto (kyllä/ei)	214
Sukupuolitautitartunnan ajankohta on tiedossa	255
Sukupuolitautitartunta (seksikumppanin kansalaisuus)	217
Sukupuolitautitartunta (tartunta-ajankohta)	216
Sukupuolitautitartunta (ulkomaat, mikä?)	218
Sukupuolitautitartunta, kontrollinäyte (kyllä/ei)	229
Sukupuolitautitartunta, kontrollinäyte (tulos)	231
Sukupuolitautitartunta, lääkitys (ajankohta)	228
Sukupuolitautitartunta, lääkitys (kyllä/ei)	226
Sukupuolitautitartunta, lääkitys (käytetty lääke)	227
Sukurasite	751
Suojaamaton seksikontakti	428
Suojaamaton yhdyntä tartunnan jälkeen	1046
Suolan käyttö	559
Suorituskyvyn heikkeneminen (kyllä/ei)	459
Suun haavaumat (kesto)	105
Suun haavaumat (lisäoireet)	106
Suun haavaumat (pääasialliset oireet)	104
Suun ja nielun turvotus (kyllä/ei)	465
Suuoireet (sukupuolitautitartuntaepäily)	239
Sydän- ja verisuonisairauksien riskitekijät	467
Syövyttävän aineen nieleminen	147
Särky kasvojen etuosassa	594
Säären kipu -artikkelin tulostuslinkki	265
Tahaton laihtuminen yli 3 kg (närästysoire)	314
Tajunnanhäiriöitä	289
Tapaturman pvm	379
Tarkempi päänsäryn oirekuvaus	606
Tarve painon pudotukseen	552
Tarve ravitsemuksen tai itsehoitolääkkeiden käytön muutoksiin	564
Taustatietoja	28
Tavoitteet ravitsemusmuutoksissa	565
Terveydenhuollon matkat hv-arvio	684
Terveydentila (terve/ei lääkitystä/sairas/lääkitys)	187
Terveystiedot	832
testi	438
Testi päivämääräkysymys	301
Testi päivämääräkysymys 2	302
Testikysymys	1
Testikysymys	135
testimonivalinta	812
Tiedän keneltä olen mahdollisesti saanut sukupuolitaudin	422
Tihentynyt hengitys tai hengenahdistus	37
Todettu refluksitauti (närästys, muut sairaudet)	323
Todettu sepelvaltimotauti (närästys, muut sairaudet)	324
Todetut sairaudet	577
Todetut sairaudet polvioireisella	693
Todetut sairaudet, joihin voi liittyä hengenahdistusta	71
Todetut vatsan alueen sairaudet	515
Toinen testikysymys	2
Toistuva huimaus/pyörrytys (kyllä/ei)	464
Toistuva päänsärky (kyllä/ei)	461
Toteuta konservatiivinen hoito	579
Tuen saaminen perheeltä	742
Tuen saaminen sote-palveluista	744
Tuen saaminen yleisesti	747
Tuen saaminen ystäviltä	740
Tulehduskipulääkkeiden käyttö	563
Tulotiedot hv-arvio	686
Tunne kiinteän ruoan juuttumisesta (närästysoire)	313
Tupakka	841
Tupakkatuotteiden käyttö	545
Tupakoinnin lopetus	50
Tupakointi (kyllä/ei)	49
Tupakointihistoria	929
Tupakointitottumusten muutostavoitteet	548
Tupakointituotteiden käytön lopettamisvuosi	546
Turvotus	574
Turvotus (polvilähete)	363
Tyhjennysyskitys	617
Työssäkäynti (polvilähete)	359
Työtilanne	731
Ulkomaanmatkan kohde	708
Ulkomaanmatkan päättyminen (vrk)	205
Ulostamiskerrat (vrk)	194
Ulosteen ja virtsan pidätyskyky	128
Ulosteen väri	195
Ummetuksen muuttuminen ripuliksi	196
Ummetus	98
Ummetuslääkkeen käyttö (kyllä/ei)	259
Uni	844
Useiden alkoholiannosten nauttimistiheys	541
Useiden samanaikaisten vatsaoireiden kuvaus	517
Uusiutuvan vatsaoireen esiintymiskerrat	520
Vaikeus liikkua hv-arvio	678
Vamma liikkumisen vaikeuden syy hv-arvio	685
Vatsakivun tyyppi	521
Vatsakivun voimakkuus (1-10)	200
Vatsan alueen leikkaukset	509
Vatsan alueen tähystystutkimukset	511
Vatsaoireen alkamisaika ja kesto	519
Vatsaoireen kannalta merkityksellinen lääkitys	522
Verenpaine	571
Verenpaine	834
Verenpaine (mmHg)	347
Verenpaine (raskauden ehkäisy)	107
Verenpaine > 150/90 mmHg	348
Verenpaine koti diastolinen, päivä 1, aamu, mittaus 1	890
Verenpaine koti diastolinen, päivä 1, aamu, mittaus 2	892
Verenpaine koti diastolinen, päivä 1, ilta, mittaus 1	894
Verenpaine koti diastolinen, päivä 1, ilta, mittaus 2	896
Verenpaine koti diastolinen, päivä 2, aamu mittaus 1	935
Verenpaine koti diastolinen, päivä 2, aamu, mittaus 2	938
Verenpaine koti diastolinen, päivä 2, ilta, mittaus 1	941
Verenpaine koti diastolinen, päivä 2, ilta, mittaus 2	943
Verenpaine koti diastolinen, päivä 3, aamu, mittaus 1	947
Verenpaine koti diastolinen, päivä 3, aamu, mittaus 2	949
Verenpaine koti diastolinen, päivä 3, ilta, mittaus 1	952
